sample,condition
ENSG00000162512,normal
ENSG00000266210,normal
ENSG00000134644,normal
ENSG00000237329,normal
ENSG00000232768,normal
ENSG00000215900,normal
ENSG00000225142,normal
ENSG00000084628,normal
ENSG00000060688,normal
ENSG00000229447,normal
ENSG00000121766,normal
ENSG00000229044,normal
ENSG00000121769,normal
ENSG00000168528,normal
ENSG00000215899,normal
ENSG00000206981,normal
ENSG00000260386,normal
ENSG00000265961,normal
ENSG00000284543,normal
ENSG00000229167,normal
ENSG00000142910,normal
ENSG00000121764,normal
ENSG00000162517,normal
ENSG00000235790,normal
ENSG00000264078,normal
ENSG00000084636,normal
ENSG00000121753,normal
ENSG00000266580,normal
ENSG00000254545,normal
ENSG00000134668,normal
ENSG00000203620,normal
ENSG00000269967,normal
ENSG00000184007,normal
ENSG00000288678,normal
ENSG00000228634,normal
ENSG00000284702,normal
ENSG00000121774,normal
ENSG00000203325,normal
ENSG00000121775,normal
ENSG00000266203,normal
ENSG00000276493,normal
ENSG00000025800,normal
ENSG00000250135,normal
ENSG00000084652,normal
ENSG00000160050,normal
ENSG00000224066,normal
ENSG00000160051,normal
ENSG00000222046,normal
ENSG00000160055,normal
ENSG00000084623,normal
ENSG00000291132,normal
ENSG00000220785,normal
ENSG00000290045,normal
ENSG00000183615,normal
ENSG00000182866,normal
ENSG00000277617,normal
ENSG00000252450,normal
ENSG00000116478,normal
ENSG00000175130,normal
ENSG00000233775,normal
ENSG00000162526,normal
ENSG00000225828,normal
ENSG00000160058,normal
ENSG00000224333,normal
ENSG00000270850,normal
ENSG00000229259,normal
ENSG00000263529,normal
ENSG00000254553,normal
ENSG00000273274,normal
ENSG00000160062,normal
ENSG00000176261,normal
ENSG00000200591,normal
ENSG00000162521,normal
ENSG00000162520,normal
ENSG00000224409,normal
ENSG00000162522,normal
ENSG00000134684,normal
ENSG00000116497,normal
ENSG00000160097,normal
ENSG00000121905,normal
ENSG00000121900,normal
ENSG00000287691,normal
ENSG00000116514,normal
ENSG00000278966,normal
ENSG00000217644,normal
ENSG00000239670,normal
ENSG00000236065,normal
ENSG00000004455,normal
ENSG00000276645,normal
ENSG00000142920,normal
ENSG00000278997,normal
ENSG00000116525,normal
ENSG00000279179,normal
ENSG00000284721,normal
ENSG00000160094,normal
ENSG00000270115,normal
ENSG00000184389,normal
ENSG00000225313,normal
ENSG00000134686,normal
ENSG00000284154,normal
ENSG00000222112,normal
ENSG00000233246,normal
ENSG00000234512,normal
ENSG00000121903,normal
ENSG00000235907,normal
ENSG00000121904,normal
ENSG00000227000,normal
ENSG00000176256,normal
ENSG00000231163,normal
ENSG00000201148,normal
